Position(bp)	Rate(cM/Mb)	Map(cM)
22751104	7.312493	17.769372
22751215	9.976007	17.770184
22752359	10.286853	17.781597
22753029	18.171385	17.788489
22753485	18.205876	17.796775
22753854	18.205876	17.803493
22757931	18.205876	17.877718
22757933	18.205876	17.877755
22759094	9.510698	17.898892
22762651	6.629245	17.932721
22762771	2.275624	17.933517
22763526	1.800615	17.935235
22770795	1.855335	17.948324
22770917	1.855298	17.948550
22771458	1.769538	17.949554
22771703	1.703815	17.949987
22771958	1.661976	17.950422
22772359	1.662088	17.951088
22772978	1.645579	17.952117
22773443	1.041445	17.952882
22773478	1.042704	17.952919
22774476	0.875134	17.953959
22774512	0.731441	17.953991
22774579	0.803357	17.954040
22774851	0.895275	17.954258
22774989	0.925861	17.954382
22775069	0.949320	17.954456
22775099	0.973419	17.954484
22775415	1.011293	17.954792
22775515	1.115140	17.954893
22775802	0.940697	17.955213
22776138	0.937219	17.955529
22776278	0.937157	17.955660
22776644	0.937137	17.956003
22776990	0.937150	17.956328
22777020	0.948459	17.956356
22777548	1.080931	17.956856
22777920	1.118210	17.957259
22778925	1.178024	17.958382
22779628	5.503490	17.959211
22779652	9.677671	17.959343
22780274	9.677671	17.965362
22780581	9.195086	17.968333
22780596	8.553650	17.968471
22780940	6.081663	17.971414
22781983	6.081663	17.977757
22782284	6.081663	17.979587
22782982	6.081663	17.983832
22783213	6.081663	17.985237
22784083	6.086489	17.990528
22785025	5.173060	17.996262
22785096	2.035551	17.996629
22785308	1.071112	17.997061
22785939	1.071849	17.997736
22786124	0.992908	17.997935
22790822	1.016551	18.002599
22792400	1.025618	18.004204
22797239	0.362085	18.009166
22799728	0.372108	18.010068
22801336	0.381266	18.010666
22803401	0.580432	18.011453
22804982	0.616978	18.012371
22806295	0.708434	18.013181
22806673	0.778114	18.013449
22806795	0.793587	18.013544
22807289	0.650118	18.013936
22808988	0.684058	18.015040
22809105	0.769214	18.015120
22809137	0.858024	18.015145
22809208	0.970076	18.015206
22810020	0.999478	18.015994
22811375	0.679818	18.017348
22811837	0.282834	18.017662
22811979	0.105260	18.017702
22812407	0.103248	18.017747
22813248	0.102546	18.017834
22814081	0.102487	18.017920
22817436	0.102636	18.018263
22817621	0.102680	18.018282
22818056	0.102832	18.018327
22819378	0.102965	18.018463
22819448	0.103142	18.018470
22819729	0.103450	18.018499
22820934	0.104108	18.018624
22823110	0.105286	18.018850
22824282	0.105158	18.018974
22824788	0.105158	18.019027
22825931	0.108245	18.019147
22828018	0.108612	18.019373
22830188	6.000933	18.019609
22831235	1.314265	18.025892
22832905	1.314232	18.028087
22833385	1.314246	18.028717
22833627	1.314164	18.029035
22833756	0.237398	18.029205
22837477	0.069567	18.030088
22837579	0.071006	18.030095
22838738	0.083049	18.030178
22839096	0.107596	18.030207
22839424	0.164488	18.030243
22839559	0.236568	18.030265
22840280	0.232821	18.030436
22841102	0.218210	18.030627
22842206	0.209855	18.030868
22842957	0.122147	18.031025
22844639	0.101231	18.031231
22845240	0.082649	18.031292
22848528	0.080514	18.031563
22851447	0.259056	18.031798
22852211	0.257034	18.031996
22852722	0.279967	18.032128
22853975	0.079874	18.032479
22856373	0.079811	18.032670
22857956	0.094300	18.032796
22858402	0.393374	18.032838
22859284	0.641706	18.033185
22860129	0.814038	18.033728
22860216	1.206800	18.033798
22860286	1.380419	18.033883
22860580	0.761845	18.034289
22861527	0.765157	18.035010
22861994	0.899993	18.035368
22862042	1.081474	18.035411
22863779	0.774446	18.037289
22865666	0.774457	18.038751
22866423	3.362445	18.039337
22867300	1.201003	18.042286
22868211	1.205132	18.043380
22868493	1.207560	18.043720
22868497	1.211583	18.043725
22869123	1.210833	18.044483
22869218	1.211385	18.044598
22869538	1.540148	18.044986
22869742	5.385149	18.045300
22870063	5.380669	18.047029
22870147	9.189865	18.047481
22870542	9.204448	18.051111
22870965	9.640872	18.055004
22871029	14.018207	18.055621
22871116	8.245344	18.056841
22871157	7.456746	18.057179
22871384	7.401594	18.058871
22871640	4.414981	18.060766
22871922	4.399354	18.062011
22872055	4.396509	18.062596
22872244	4.398479	18.063427
22872817	4.789664	18.065948
22872835	5.269314	18.066034
22873202	6.119880	18.067968
22873638	6.758492	18.070636
22873965	12.552638	18.072846
22874289	12.552638	18.076913
22874320	12.558949	18.077302
22874337	12.563104	18.077516
22874497	12.565128	18.079526
22874538	12.561454	18.080041
22874965	23.417398	18.085405
22877564	23.417398	18.146266
22884963	23.417398	18.319532
22886667	23.416485	18.359435
22887993	23.416485	18.390485
22888933	18.091827	18.412497
22889226	17.960077	18.417798
22889528	6.013593	18.423222
22889664	1.782587	18.424039
22889840	1.782197	18.424353
22889902	1.781695	18.424464
22889954	1.780382	18.424556
22890066	1.754926	18.424756
22890270	1.616277	18.425114
22890492	1.198702	18.425473
22890752	1.093745	18.425784
22890756	0.987502	18.425789
22890792	0.916840	18.425824
22891081	0.888598	18.426089
22891195	0.854979	18.426190
22891294	0.811065	18.426275
22891308	0.759058	18.426286
22892335	0.758908	18.427066
22892881	0.760950	18.427480
22894092	6.605214	18.428402
22894965	0.865667	18.434168
22895569	1.113609	18.434691
22895813	1.429998	18.434963
22896851	0.976497	18.436447
22896912	0.711275	18.436507
22897115	0.666165	18.436651
22897261	0.628556	18.436748
22897322	0.603410	18.436787
22899234	0.679299	18.437940
22899324	0.682765	18.438002
22900133	1.167256	18.438554
22902168	1.578012	18.440929
22902281	1.956408	18.441108
22902952	0.312005	18.442420
22903788	0.305916	18.442681
22905030	0.306028	18.443061
22906391	0.306938	18.443478
22906901	0.307456	18.443634
22909590	0.308567	18.444461
22910416	0.309459	18.444716
22911060	0.310092	18.444915
22911549	0.316898	18.445067
22912091	0.618555	18.445238
22912168	1.003292	18.445286
22913629	0.887740	18.446752
22913667	0.790721	18.446786
22913931	0.664633	18.446994
22915187	0.664800	18.447829
22915822	0.594114	18.448251
22916106	1.157893	18.448420
22916387	1.167013	18.448745
22916777	4.357969	18.449201
22916960	1.196353	18.449998
22917025	1.095074	18.450076
22917095	1.095332	18.450152
22917279	1.124156	18.450354
22917590	1.131176	18.450704
22918531	1.132459	18.451768
22918595	1.161512	18.451841
22920212	1.185060	18.453719
22921588	1.185459	18.455349
22921690	1.206550	18.455470
22922459	1.224858	18.456398
22922798	1.341017	18.456813
22922878	1.449174	18.456921
22922888	1.548246	18.456935
22923994	1.548288	18.458647
22924995	1.552748	18.460197
22925095	1.549864	18.460353
22925702	1.552843	18.461293
22925932	1.548712	18.461650
22926137	1.541642	18.461968
22927301	1.519688	18.463762
22928854	1.463320	18.466122
22929268	1.431960	18.466728
22929466	1.410773	18.467012
22930220	1.406778	18.468076
22930610	1.406753	18.468624
22930770	1.403345	18.468849
22931189	1.453773	18.469437
22931483	3.742744	18.469865
22931688	3.832538	18.470632
22931860	7.754773	18.471291
22932152	7.697218	18.473556
22932241	3.980777	18.474241
22935229	1.528564	18.486135
22936620	1.526332	18.488261
22936815	1.521417	18.488559
22938050	1.521049	18.490438
22939725	1.518550	18.492986
22939903	1.517484	18.493256
22940611	0.500901	18.494330
22940634	0.500800	18.494342
22943748	0.509371	18.495901
22943782	0.520243	18.495919
22944153	0.510812	18.496112
22944321	0.503294	18.496198
22945823	0.776952	18.496954
22945890	1.054061	18.497006
22946569	0.745335	18.497721
22946825	0.311044	18.497912
22947661	0.311032	18.498172
22948501	0.333778	18.498433
22950205	0.482540	18.499002
22951049	0.486608	18.499409
22951190	0.489621	18.499478
22951246	0.490839	18.499505
22951696	0.490820	18.499726
22952239	0.490747	18.499993
22952474	0.490071	18.500108
22953626	0.489895	18.500673
22953644	0.489826	18.500682
22953807	0.489330	18.500761
22955296	0.732091	18.501490
22955517	1.628374	18.501652
22957510	1.850802	18.504897
22957905	2.376574	18.505628
22958130	2.486564	18.506163
22958318	2.650560	18.506630
22958868	2.461383	18.508088
22959307	1.849693	18.509169
22959681	1.851136	18.509861
22960217	1.679882	18.510853
22960273	1.430276	18.510947
22960419	0.703843	18.511156
22960731	0.271896	18.511375
22965702	0.411059	18.512727
22969228	3.840935	18.514176
22972396	3.866988	18.526344
22978681	3.855869	18.550648
22996971	3.838039	18.621172
22997437	3.815115	18.622961
22998050	3.792909	18.625299
22998124	0.893255	18.625580
22998136	0.868084	18.625591
22998337	0.868022	18.625765
22998610	0.829470	18.626002
22998633	0.788737	18.626021
22999021	0.789071	18.626327
23000030	0.812660	18.627123
23000278	0.874223	18.627325
23000753	1.053908	18.627740
23000892	1.251797	18.627887
23001481	0.765975	18.628624
23002699	0.763327	18.629557
23003576	0.561054	18.630226
23003725	0.483369	18.630310
23005317	0.483535	18.631080
23006293	0.467793	18.631552
23008007	0.470256	18.632353
23009692	0.533314	18.633146
23009833	0.649288	18.633221
23010101	1.114457	18.633395
23010666	1.121763	18.634025
23011461	0.440703	18.634916
23011602	0.442107	18.634979
23011972	0.534768	18.635142
23011996	0.608167	18.635155
23012049	0.639606	18.635187
23012318	0.637583	18.635359
23012596	0.639475	18.635536
23012647	0.640125	18.635569
23012709	0.641234	18.635609
23013007	0.709388	18.635800
23013062	0.712475	18.635839
23013171	5.108442	18.635917
23013351	5.113918	18.636836
23013607	5.122163	18.638145
23013849	5.131697	18.639385
23014327	5.003678	18.641838
23015070	5.050091	18.645555
23015285	4.838673	18.646641
23018188	4.838591	18.660688
23019958	12.590962	18.669252
23021290	12.591289	18.686023
23021357	12.591289	18.686867
23021602	12.591289	18.689952
23022027	24.266095	18.695303
23022136	24.266095	18.697948
23022290	24.266095	18.701685
23023222	18.600740	18.724301
23023234	16.423222	18.724524
23023374	16.421899	18.726824
23023396	16.421775	18.727185
23023745	6.208386	18.732916
23024246	5.348828	18.736026
23025613	5.354909	18.743338
23027160	5.354909	18.751622
23027209	5.354077	18.751885
23027436	5.377489	18.753100
23027809	5.407962	18.755106
23028302	5.396674	18.757772
23028973	5.389491	18.761393
23029097	5.413050	18.762062
23029263	5.423042	18.762960
23031392	5.425200	18.774506
23031533	5.427003	18.775271
23031579	5.307472	18.775520
23031581	5.308162	18.775531
23031721	1.712798	18.776274
23031832	1.713448	18.776464
23032448	1.708028	18.777520
23033418	1.709724	18.779177
23033679	1.724483	18.779623
23033990	1.729436	18.780159
23034330	1.724088	18.780747
23035012	1.963678	18.781923
23035233	2.057175	18.782357
23035357	2.176433	18.782612
23035447	2.168074	18.782808
23035739	2.731736	18.783441
23036000	2.782020	18.784154
23036092	2.764870	18.784410
23036105	2.808597	18.784446
23036205	2.931369	18.784727
23036358	2.725830	18.785175
23036473	3.754884	18.785489
23037189	4.103379	18.788177
23037338	4.108839	18.788789
23037513	4.117047	18.789508
23037569	4.112343	18.789738
23037747	4.102623	18.790470
23039308	4.099964	18.796874
23039713	4.074180	18.798535
23040318	4.068695	18.801000
23040487	4.116377	18.801687
23040887	4.116247	18.803334
23041014	4.313747	18.803857
23041862	5.820769	18.807515
23041911	13.168830	18.807800
23046118	13.168830	18.863201
23047893	14.316168	18.886576
23049171	13.967852	18.904872
23049399	13.815964	18.908057
23050471	8.526911	18.922867
23051407	7.758417	18.930848
23052772	7.758901	18.941439
23054411	7.759095	18.954156
23054598	7.759095	18.955606
23054614	9.903285	18.955731
23055331	10.406725	18.962831
23055852	11.826433	18.968253
23056081	11.823847	18.970961
23056140	11.887851	18.971659
23056185	11.893249	18.972194
23056313	8.510400	18.973716
23056462	8.479819	18.974984
23056593	2.155003	18.976095
23056896	1.634589	18.976748
23059453	1.752715	18.980928
23059563	1.906477	18.981121
23060265	1.695017	18.982459
23060352	1.618217	18.982606
23060694	1.652520	18.983160
23061501	1.545016	18.984493
23062260	1.483997	18.985666
23062398	1.484004	18.985871
23062612	1.269561	18.986189
23062864	1.121689	18.986508
23062890	1.011035	18.986538
23063029	0.974952	18.986678
23063178	0.961508	18.986823
23063645	0.961389	18.987272
23063840	0.946142	18.987460
23063932	0.946201	18.987547
23064058	7.492387	18.987666
23064138	1.899839	18.988266
23064183	0.487680	18.988351
23064271	0.484879	18.988394
23064287	0.405398	18.988402
23064581	0.405483	18.988521
23064738	0.414409	18.988585
23064904	0.445604	18.988653
23064982	0.501508	18.988688
23065017	0.574689	18.988706
23065027	0.643227	18.988711
23065052	0.643215	18.988727
23065131	0.643265	18.988778
23065319	0.643325	18.988899
23065320	0.643325	18.988900
23065840	0.628910	18.989234
23066413	0.629272	18.989595
23066679	0.629796	18.989762
23066978	0.637924	18.989950
23067418	0.638190	18.990231
23067476	0.793719	18.990268
23070912	0.703690	18.992995
23071228	0.643464	18.993218
23071809	0.636818	18.993592
23072142	0.644470	18.993804
23072224	0.652742	18.993857
23073958	0.652728	18.994988
23075663	0.659818	18.996101
23076350	0.791644	18.996555
23076572	1.056861	18.996730
23077925	1.122868	18.998160
23078330	1.114276	18.998615
23078419	1.056908	18.998714
23078808	1.056393	18.999125
23079177	1.057858	18.999515
23080037	1.116136	19.000425
23080796	1.095755	19.001272
23080858	1.096815	19.001340
23080883	1.113556	19.001367
23081078	1.105547	19.001585
23082496	1.105923	19.003152
23083025	1.125261	19.003737
23083231	1.154329	19.003969
23083515	1.031455	19.004297
23083560	0.925272	19.004343
23083635	0.862017	19.004413
23083864	0.852633	19.004610
23083940	0.841860	19.004675
23084133	0.864941	19.004837
23084271	0.859249	19.004957
23084624	0.854084	19.005260
23084950	0.853842	19.005538
23084965	0.848378	19.005551
23087000	1.043961	19.007278
23087199	0.740701	19.007485
23088026	0.191871	19.008098
23092160	0.191853	19.008891
23094201	0.193047	19.009283
23095105	0.198149	19.009457
23099593	0.585045	19.010347
23100104	0.390503	19.010646
23100772	0.534249	19.010906
23102411	0.520161	19.011782
23102926	0.498342	19.012050
23103133	0.495088	19.012153
23104527	0.506649	19.012843
23104867	0.522268	19.013016
23105542	0.522987	19.013368
23105791	0.519566	19.013498
23105885	0.515671	19.013547
23106891	0.506755	19.014066
23107269	0.501363	19.014257
23109228	0.504726	19.015240
23110613	0.609777	19.015939
23110655	0.694082	19.015964
23110757	0.689381	19.016035
23111002	0.675600	19.016204
23111003	0.659282	19.016205
23111567	0.683534	19.016576
23111861	0.738183	19.016777
23112021	2.565597	19.016896
23112204	2.726597	19.017365
23113150	3.089633	19.019944
23113164	3.326036	19.019988
23113506	2.874973	19.021125
23113698	1.955595	19.021677
23113720	1.352539	19.021720
23113935	0.710381	19.022011
23114938	0.658181	19.022723
23114993	0.597031	19.022760
23115431	0.528115	19.023021
23115540	0.462339	19.023079
23120097	0.620903	19.025186
23120186	0.808955	19.025241
23121132	0.400818	19.026006
23122501	0.388556	19.026555
23122613	0.378384	19.026598
23123028	0.369329	19.026755
23124092	0.364007	19.027148
23124407	0.364086	19.027263
23124534	0.361434	19.027309
23125050	0.361304	19.027496
23125302	0.361304	19.027587
23125461	0.361050	19.027644
23125486	0.360347	19.027653
23126577	0.363565	19.028046
23126898	0.364185	19.028163
23127585	0.365115	19.028413
23127667	0.738677	19.028443
23128331	1.152385	19.028934
23128752	3.310251	19.029419
23128874	3.492953	19.029823
23128892	4.051646	19.029886
23128943	4.144112	19.030092
23128957	4.112236	19.030150
23129036	1.947926	19.030475
23129576	1.954376	19.031527
23129859	2.512855	19.032080
23130075	3.314274	19.032623
23130498	7.622944	19.034025
23130618	7.642637	19.034940
23132774	7.628478	19.051417
23136811	9.407761	19.082213
23137948	10.974286	19.092910
23139031	9.926236	19.104795
23139043	8.864883	19.104914
23139081	7.569173	19.105251
23139365	7.419314	19.107401
23139388	7.244317	19.107571
23140159	7.207304	19.113157
23140215	7.154783	19.113560
23140940	7.079029	19.118748
23141620	7.024156	19.123561
23142052	6.995970	19.126596
23142222	6.966850	19.127785
23143372	6.960342	19.135797
23143636	6.958997	19.137634
23144293	7.331187	19.142206
23144533	10.996985	19.143966
23145477	10.997016	19.154347
23145530	10.996158	19.154930
23145634	10.995217	19.156074
23146132	10.974021	19.161549
23146671	10.812034	19.167464
23146912	11.183134	19.170070
23147342	11.082617	19.174879
23149622	13.464990	19.200147
23149754	15.299219	19.201924
23154058	15.275273	19.267772
23154582	10.642927	19.275776
23155988	1.251981	19.290740
23156398	1.252525	19.291254
23156789	0.980401	19.291743
23157200	0.978662	19.292146
23157485	0.956402	19.292425
23157886	0.937443	19.292809
23158004	0.922317	19.292919
23158684	0.879009	19.293547
23158941	1.007048	19.293773
23159239	0.874103	19.294073
23159378	0.690369	19.294194
23159558	0.640784	19.294318
23160433	0.392625	19.294879
23162350	0.382466	19.295632
23164293	0.381096	19.296375
23164320	0.380232	19.296385
23164390	0.380458	19.296412
23164582	0.370744	19.296485
23166136	0.370978	19.297061
23166606	0.371529	19.297235
23169443	0.380259	19.298289
23169790	0.384590	19.298421
23169929	0.384399	19.298475
23170068	0.386243	19.298528
23170220	0.388949	19.298587
23171953	0.388265	19.299261
23172190	0.388241	19.299353
23172231	0.388299	19.299369
23172732	0.388324	19.299563
23173693	0.387716	19.299937
23174043	0.387259	19.300072
23174140	0.386680	19.300110
23175083	0.386454	19.300475
23175703	0.385027	19.300714
23175722	0.383052	19.300721
23175795	0.381363	19.300749
23176362	0.380200	19.300966
23176986	0.379910	19.301203
23177532	0.386051	19.301410
23177939	0.594369	19.301567
23177972	0.831137	19.301587
23178553	1.424652	19.302070
23178699	2.185813	19.302278
23178801	2.228876	19.302501
23179140	2.229246	19.303256
23179177	2.229577	19.303339
23180511	2.217641	19.306313
23180608	2.206589	19.306528
23180615	2.190369	19.306544
23181148	2.054969	19.307711
23181676	1.110047	19.308796
23182463	1.066813	19.309670
23183377	1.046963	19.310645
23183714	1.106409	19.310998
23184117	1.250136	19.311444
23184406	1.699927	19.311805
23185119	4.383714	19.313017
23185479	10.354295	19.314595
23188770	6.519680	19.348671
23189131	6.462417	19.351025
23189544	0.513411	19.353694
23190009	0.421134	19.353932
23190040	0.365033	19.353945
23191393	0.356000	19.354439
23192079	0.352527	19.354684
23193361	0.354090	19.355136
23193800	0.354066	19.355291
23194143	0.352184	19.355412
23194982	0.408468	19.355708
23194986	0.482390	19.355710
23195102	0.617038	19.355765
23195201	0.914687	19.355827
23195259	1.350350	19.355880
23195803	2.660297	19.356614
23196467	3.477329	19.358381
23196558	3.536493	19.358697
23198204	3.330507	19.364518
23200329	3.329668	19.371595
23201230	1.446052	19.374596
23202888	1.202921	19.376993
23202963	1.202349	19.377083
23203478	0.659132	19.377703
23203673	0.658938	19.377831
23203778	0.581100	19.377900
23205980	0.581184	19.379180
23207076	0.581198	19.379817
23208519	5.135551	19.380655
23208723	5.135551	19.381703
23208999	5.135699	19.383121
23209774	5.135784	19.387101
23210513	5.135908	19.390896
23210704	6.222157	19.391877
23210847	6.867138	19.392767
23211369	6.867373	19.396351
23212806	8.943935	19.406220
23213587	10.885660	19.413205
23213600	10.885626	19.413347
23216562	10.886157	19.445590
23217250	19.552025	19.453079
23221407	19.552025	19.534357
23221687	19.552025	19.539832
23221772	19.552025	19.541494
23221869	19.551974	19.543390
23222208	19.551974	19.550018
23222486	19.536326	19.555454
23223233	18.770691	19.570047
23223278	11.704518	19.570892
23223867	8.593850	19.577786
23223895	7.358331	19.578027
23223915	6.602386	19.578174
23224058	6.596172	19.579118
23224342	6.650165	19.580991
23224800	8.254125	19.584037
23224835	9.127556	19.584326
23224939	9.227190	19.585275
23224988	9.330110	19.585727
23225028	9.397290	19.586101
23225190	9.187076	19.587623
23225549	8.537128	19.590921
23225780	7.939970	19.592893
23225870	7.767254	19.593608
23225888	7.546468	19.593748
23225953	6.523088	19.594238
23225995	4.437166	19.594512
23226469	6.051164	19.596615
23228589	9.165366	19.609444
23229029	9.164744	19.613477
23229190	11.004795	19.614952
23231528	9.962671	19.640681
23231769	7.850734	19.643082
23232674	6.695973	19.650187
23233363	6.610023	19.654801
23233641	6.520483	19.656638
23233860	6.317959	19.658066
23234016	6.167291	19.659052
23234399	6.169317	19.661414
23234528	6.191393	19.662210
23234587	6.274789	19.662575
23234792	8.040833	19.663861
23234979	8.120318	19.665365
23238289	7.015822	19.692243
23238984	5.609582	19.697119
23239579	4.846454	19.700457
23239868	4.730692	19.701858
23240027	4.680590	19.702610
23240163	3.592790	19.703246
23240316	2.823095	19.703796
23240463	2.810592	19.704211
23241151	2.298604	19.706145
23241523	2.300084	19.707000
23244065	2.304777	19.712847
23245588	2.240251	19.716357
23249040	1.483065	19.724090
23250103	1.285875	19.725667
23250737	1.294266	19.726482
23251054	1.290436	19.726892
23251602	1.260335	19.727599
23251940	1.256894	19.728025
23253893	1.215415	19.730480
23255525	1.380558	19.732464
23255556	1.497695	19.732506
23255869	1.524251	19.732975
23255890	1.520611	19.733007
23256260	1.538899	19.733570
23256279	1.551805	19.733599
23256464	1.561309	19.733886
23257051	1.555744	19.734803
23257268	1.559186	19.735140
23258231	1.541407	19.736642
23258300	1.528243	19.736748
23258369	1.516338	19.736854
23258438	1.506891	19.736958
23258457	1.498741	19.736987
23258520	1.490390	19.737081
23259501	1.510372	19.738543
23259859	1.938109	19.739084
23260252	1.938653	19.739846
23260507	2.159142	19.740340
23260922	2.420479	19.741236
23261066	2.426106	19.741585
23261086	2.430964	19.741633
23261166	2.437281	19.741828
23261330	2.432032	19.742227
23261473	2.417214	19.742575
23261552	2.183817	19.742766
23262162	1.379688	19.744098
23262360	0.895521	19.744371
23263708	0.895729	19.745579
23266118	0.900054	19.747737
23266676	0.900172	19.748240
23268390	0.902827	19.749782
23268511	0.902871	19.749892
23271250	0.904405	19.752365
23272656	0.909584	19.753636
23274234	0.911106	19.755072
23274645	1.061824	19.755446
23275227	1.126552	19.756064
23275341	1.162299	19.756192
23276134	1.190442	19.757114
23276219	1.250383	19.757215
23276363	1.494759	19.757395
23276421	1.492933	19.757482
23276454	1.465173	19.757531
23276520	1.158428	19.757628
23277301	1.158113	19.758533
23278284	8.774572	19.759671
23278464	8.798751	19.761251
23278515	8.802534	19.761699
23278593	8.802868	19.762386
23278613	8.802802	19.762562
23278658	8.803264	19.762958
23278808	8.805737	19.764279
23279385	8.809090	19.769360
23279456	8.812690	19.769985
23279752	8.817253	19.772594
23281596	9.410312	19.788853
23282877	11.040932	19.800907
23283083	24.448124	19.803182
23283219	24.447582	19.806507
23285252	36.840246	19.856208
23285694	27.795784	19.872492
23287367	27.795784	19.918994
23287499	26.194675	19.922663
23287925	22.570382	19.933822
23288012	0.572711	19.935786
23288147	0.565766	19.935863
23288277	0.565023	19.935937
23288347	0.567113	19.935976
23288385	0.567151	19.935998
23288557	0.567284	19.936095
23289581	0.567188	19.936676
23291246	0.584268	19.937621
23291611	2.562889	19.937834
23292043	4.404546	19.938941
23292407	7.830438	19.940544
23293006	7.843563	19.945235
23293394	9.379443	19.948278
23296615	9.270557	19.978489
23296828	7.934469	19.980464
23299287	0.612620	19.999975
23299622	0.817331	20.000180
23299769	0.720699	20.000300
23300887	0.385284	20.001106
23301330	0.026539	20.001276
23304323	0.026519	20.001356
23307615	0.026519	20.001443
23315629	0.029722	20.001656
23315906	0.035999	20.001664
23316616	0.133566	20.001690
23316856	0.207128	20.001722
23317305	0.165571	20.001815
23319155	0.246419	20.002121
23320339	0.206636	20.002413
23320958	0.218969	20.002541
23321399	0.185032	20.002637
23321789	0.141571	20.002709
23322794	0.014659	20.002852
23324839	0.014006	20.002882
23325722	0.017219	20.002894
23326006	0.016861	20.002899
23326827	0.022114	20.002913
23327745	0.138693	20.002933
23327811	0.298294	20.002942
23330366	0.290736	20.003704
23331665	0.012161	20.004082
23335538	0.011888	20.004129
23335700	0.011528	20.004131
23337705	0.011464	20.004154
23338070	0.011460	20.004158
23338211	0.011441	20.004160
23338503	0.011455	20.004163
23339200	0.011455	20.004171
23339616	0.011455	20.004176
23344094	0.013512	20.004227
23345070	0.023439	20.004240
23346648	0.299380	20.004277
23350873	1.701218	20.005542
23351073	1.555954	20.005883
23351490	0.537724	20.006531
23352933	1.400889	20.007307
23353620	1.407526	20.008270
23355751	0.758246	20.011269
23356085	0.600199	20.011522
23356100	0.439425	20.011531
23356738	0.428672	20.011812
23362084	0.431094	20.014103
23363714	0.432059	20.014806
23363882	0.467659	20.014879
23364370	0.535675	20.015107
23364587	0.566758	20.015223
23365301	0.619648	20.015628
23365501	0.528434	20.015752
23366305	0.545497	20.016177
23367169	0.516460	20.016648
23369826	2.616381	20.018020
23372142	2.613500	20.024080
23373902	2.618589	20.028679
23374143	2.628865	20.029311
23374206	2.641745	20.029476
23375092	2.694715	20.031817
23375490	2.703120	20.032889
23377865	3.128261	20.039309
23379206	1.718672	20.043504
23379255	0.996613	20.043588
23379362	0.749609	20.043695
23379625	0.745294	20.043892
23379985	0.681175	20.044160
23382483	0.632312	20.045862
23383668	0.632312	20.046611
23383863	0.065935	20.046735
23385024	0.065035	20.046811
23385124	0.055713	20.046818
23385952	0.054594	20.046864
23386647	0.054325	20.046902
23386728	0.053779	20.046906
23395367	0.070978	20.047371
23395684	2.827809	20.047393
23395871	18.259860	20.047922
23398048	18.259883	20.087674
23398638	0.477957	20.098447
23399743	0.630884	20.098975
23402875	1.554643	20.100951
23406619	1.224317	20.106772
23407063	0.711021	20.107315
23407301	0.500232	20.107485
23408118	0.477067	20.107893
23409384	0.447374	20.108497
23410918	0.394666	20.109183
23412017	0.398453	20.109617
23416005	0.435168	20.111206
23417677	0.550818	20.111934
23417712	0.662927	20.111953
23417758	0.804260	20.111984
23421058	1.975499	20.114638
23422890	0.371041	20.118257
23423107	0.228840	20.118337
23423247	0.159888	20.118369
23423686	0.159857	20.118440
23425528	0.162759	20.118734
23425923	0.168194	20.118798
23425931	0.173212	20.118800
23427105	0.175155	20.119003
23428810	0.507171	20.119302
23429084	0.508851	20.119441
23429224	0.405457	20.119512
23430410	0.353071	20.119993
23431090	0.193559	20.120233
23431380	0.193836	20.120289
23431737	0.194438	20.120358
23431763	0.194538	20.120363
23431856	0.192549	20.120381
23433266	0.151200	20.120653
23433804	0.108189	20.120734
23434327	0.108992	20.120791
23435151	0.107245	20.120880
23435655	0.106872	20.120935
23435750	0.106823	20.120945
23436424	0.106971	20.121017
23437006	0.120366	20.121079
23437271	0.872846	20.121111
23437798	0.873181	20.121571
23438191	0.110083	20.121914
23439096	0.113019	20.122014
23439530	0.120033	20.122063
23439756	0.117370	20.122090
23440099	0.120585	20.122130
23442916	0.114393	20.122470
23443909	0.111272	20.122583
23444067	0.109763	20.122601
23444796	0.108218	20.122681
23445083	0.107807	20.122712
23446386	0.107474	20.122852
23449955	0.253695	20.123236
23451236	0.596755	20.123561
23451775	1.820954	20.123883
23452431	1.821567	20.125077
23453567	1.821990	20.127147
23453576	1.510909	20.127163
23454485	1.508469	20.128536
23454722	0.827443	20.128894
23454881	0.122698	20.129025
23455366	0.118625	20.129085
23456696	0.118780	20.129243
23457098	1.522817	20.129290
23457486	0.124346	20.129881
23458577	0.117365	20.130017
23459863	0.789683	20.130168
23460939	0.223558	20.131018
23461003	0.113947	20.131032
23461425	0.113946	20.131080
23461723	0.113926	20.131114
23463053	0.113921	20.131265
23463084	0.113881	20.131269
23463183	0.114832	20.131280
23464457	0.115248	20.131427
23464754	0.115152	20.131461
23464810	0.363290	20.131467
23467080	0.109724	20.132292
23467804	0.109042	20.132371
23467946	0.108667	20.132387
23468024	0.108486	20.132395
23468468	0.109148	20.132443
23469181	0.923197	20.132521
23469267	1.036618	20.132601
23469433	0.597130	20.132773
23469438	0.141562	20.132776
23469918	0.065162	20.132844
23470090	0.032728	20.132855
23471533	0.028328	20.132902
23472954	0.028289	20.132942
23473060	0.028183	20.132945
23473231	0.028319	20.132950
23473862	0.028672	20.132968
23474085	0.029557	20.132974
23474972	0.032925	20.133001
23475067	0.032925	20.133004
23475762	0.039424	20.133027
23477970	0.049173	20.133114
23478150	0.059711	20.133123
23480962	0.063003	20.133291
23482096	0.063011	20.133362
23482460	0.064563	20.133385
